Mitogenomes	sample	Morphpspecies_Image	Image_Family	Image_Subfamily	Site_ID	Site	Collection_method	Collection_year	Country
BIOD00919	BIBC_BIP17_C02	MS1562	Hydrophilidae		PB	Poring	FIT2		Malaysia
BIOD02985	BIBC_BIP14_C10	MS1282	Staphylinidae	Pselaphinae	PA	Poring	WINKLER		Malaysia
BIOD02486	BIBC_SOP1_B01	Osor12	Staphylinidae	Osoriinae		Danum Valley			Malaysia
BIOD02873	BIBC_BIP14_G08	MS1328	Staphylinidae	Paederinae	PA	Poring	WINKLER		Malaysia
BIOD03074	BIBC_BIP12_A05	MS1061	Staphylinidae	Pselaphinae	PB	Poring	WINKLER		Malaysia
BIOD02471	BIBC_BIP19_D09	MS1773	Staphylinidae		PB	Poring	FIT2		Malaysia
BIOD01874	BIBC_BIP18_H11	MS1727	Staphylinidae	Pselaphinae	PB	Poring	FIT2		Malaysia
BIOD00247	BIBC_BIP08_F12	MS744	Staphylinidae	Paederinae	PC	Poring	BEATING		Malaysia
BIOD02993	BIBC_BIP12_F08	MS1124	Staphylinidae	Pselaphinae	PC	Poring	WINKLER		Malaysia
BIOD00982	BIBC_BIP09_F10	MS838	Staphylinidae	Paederinae	PD	Poring	BEATING		Malaysia
BIOD02474	BIBC_BIP11_D11	MS1007	Staphylinidae	Paederinae	PB	Poring	WINKLER		Malaysia
BIOD00473	BIBC_BIP18_A01	MS1633	Staphylinidae	Osoriinae	PB	Poring	FIT2		Malaysia
BIOD02444	BIBC_BIP09_A03	MS771	Staphylinidae	Pselaphinae	PC	Poring	BEATING		Malaysia
BIOD01778	BIBC_BIP18_A12	MS1644	Staphylinidae	Megalopsidiinae	PB	Poring	FIT2		Malaysia
BIOD00131	BIBC_BIP24_A12	MS2222	Staphylinidae	Aleocharinae	PC	Poring	FIT1		Malaysia
BIOD02719	BIBC_SOP1_F07	Tach7	Staphylinidae	Tachyporinae		Danum Valley			Malaysia
BIOD02453	BIBC_BIP23_B02	MS2128	Staphylinidae	Aleocharinae	PA	Poring	FIT1		Malaysia
BIOD02012	BIBC_BIP28_E06	MS2648	Staphylinidae	Aleocharinae	PD	Poring	FIT2		Malaysia
BIOD00002	BIBC_BIP13_E09	MS1209	Histeridae		PA	Poring	WINKLER		Malaysia
BIOD00017	BIBC_BIP12_C11	MS1091	Histeridae		PC	Poring	WINKLER		Malaysia
BIOD00052	BIBC_SOP1_C12	Osor7	Staphylinidae	Osoriinae		Danum Valley			Malaysia
BIOD00059	BIBC_BIP17_G11	MS1619	Staphylinidae	Aleocharinae	PB	Poring	FIT2		Malaysia
BIOD00074	BIBC_BIP18_H07	MS1723	Staphylinidae	Proteinae	PB	Poring	FIT2		Malaysia
BIOD00079	BIBC_BIP25_H10	MS2400	Leiodidae	Cholevinae	PC	Poring	FIT1		Malaysia
BIOD00090	BIBC_BIP17_E06	MS1590	Histeridae		PB	Poring	FIT2		Malaysia
BIOD00110	BIBC_BIP22_H10	MS2112	Leiodidae		PA	Poring	FIT1		Malaysia
BIOD00120	BIBC_BIP18_E12	MS1692	Leiodidae	Leiodinae	PB	Poring	FIT2		Malaysia
BIOD00151	BIBC_BIP22_B07	MS2036	Staphylinidae	Aleocharinae	PA	Poring	FIT1		Malaysia
BIOD00154	BIBC_BIP19_H08	MS1820	Staphylinidae	Pselaphinae	PB	Poring	FIT2		Malaysia
BIOD00159	BIBC_BIP24_E10	MS2268	Leiodidae		PC	Poring	FIT1		Malaysia
BIOD00162	BIBC_BIP25_C09	MS2339	Staphylinidae	Aleocharinae	PC	Poring	FIT1		Malaysia
BIOD00181	BIBC_BIP17_C04	MS1564	Histeridae		PB	Poring	FIT2		Malaysia
BIOD00184	BIBC_BIP16_B04	MS1456	Staphylinidae	Tachyporinae	PD	Poring	BEATING		Malaysia
BIOD00191	BIBC_BIP24_C02	MS2236	Histeridae		PC	Poring	FIT1		Malaysia
BIOD00228	BIBC_BIP25_H02	MS2392	Staphylinidae	Aleocharinae	PC	Poring	FIT1		Malaysia
BIOD00234	BIBC_BIP26_G10	MS2484	Staphylinidae	Proteininae	PC	Poring	FIT1		Malaysia
BIOD00296	BIBC_BIP22_D04	MS2057	Staphylinidae	Paederinae	PA	Poring	FIT1		Malaysia
BIOD00301	BIBC_BIP29_A01	MS2691	Staphylinidae	Aleocharinae	PD	Poring	FIT2		Malaysia
BIOD00334	BIBC_BIP27_H04	MS2586	Staphylinidae	Aleocharinae	PD	Poring	FIT2		Malaysia
BIOD00351	BIBC_BIP13_E07	MS1207	Staphylinidae	Paederinae	PA	Poring	WINKLER		Malaysia
BIOD00398	BIBC_BIP13_F09	MS1221	Staphylinidae	Pselaphinae	PA	Poring	WINKLER		Malaysia
BIOD00402	BIBC_BIP21_C12	MS1957	Histeridae		PA	Poring	FIT1		Malaysia
BIOD00449	BIBC_BIP11_H02	MS1046	Hydrophilidae		PB	Poring	WINKLER		Malaysia
BIOD00470	BIBC_BIP25_C11	MS2341	Staphylinidae	Tachyporinae	PC	Poring	FIT1		Malaysia
BIOD00486	BIBC_BIP03_H01	MS277	Staphylinidae	Pselaphinae	PB	Poring	BEATING		Malaysia
BIOD00515	BIBC_BIP13_H12	MS1248	Staphylinidae	Osoriinae	PA	Poring	WINKLER		Malaysia
BIOD00519	BIBC_BIP15_D03	MS1383	Ptiliidae		PD	Poring	PITFALL		Malaysia
BIOD00529	BIBC_BIP10_A07	MS871	Staphylinidae	Staphylininae	PD	Poring	BEATING		Malaysia
BIOD00532	BIBC_BIP28_A10	MS2604	Staphylinidae	Tachyporinae	PD	Poring	FIT2		Malaysia
BIOD00539	BIBC_BIP13_G08	MS1232	Staphylinidae	Paederinae	PA	Poring	WINKLER		Malaysia
BIOD00540	BIBC_BIP13_D05	MS1193	Staphylinidae	Pselaphinae	PD	Poring	WINKLER		Malaysia
BIOD00542	BIBC_BIP09_A05	MS773	Staphylinidae	Tachyporinae	PC	Poring	BEATING		Malaysia
BIOD00556	BIBC_BIP11_D01	MS997	Staphylinidae	Scaphidiinae	PB	Poring	WINKLER		Malaysia
BIOD00579	BIBC_BIP21_B03	MS1936	Staphylinidae	Staphylininae	PA	Poring	FIT1		Malaysia
BIOD00621	BIBC_BIP13_A03	MS1155	Staphylinidae	Paederinae	PD	Poring	WINKLER		Malaysia
BIOD00648	BIBC_BIP25_H01	MS2391	Staphylinidae	Aleocharinae	PC	Poring	FIT1		Malaysia
BIOD00650	BIBC_BIP01_E01	MS49	Staphylinidae	Scaphidiinae	PB	Poring	MALAISE		Malaysia
BIOD00654	BIBC_BIP12_D06	MS1098	Staphylinidae	Aleocharinae	PC	Poring	WINKLER		Malaysia
BIOD00656	BIBC_BIP25_H05	MS2395	Staphylinidae	Aleocharinae	PC	Poring	FIT1		Malaysia
BIOD00675	BIBC_BIP09_F11	MS839	Staphylinidae	Scaphidiinae	PD	Poring	BEATING		Malaysia
BIOD00789	BIBC_BIP27_C08	MS2530	Staphylinidae	Pselaphinae	PC	Poring	FIT1		Malaysia
BIOD00802	BIBC_BIP19_H03	MS1815	Leiodidae		PB	Poring	FIT2		Malaysia
BIOD00820	BIBC_BIP12_C09	MS1089	Histeridae		PC	Poring	WINKLER		Malaysia
BIOD00823	BIBC_BIP12_B03	MS1071	Staphylinidae	Pselaphinae	PB	Poring	WINKLER		Malaysia
BIOD00828	BIBC_BIP12_H04	MS1144	Hydrophilidae	Sphaeridiinae	PC	Poring	WINKLER		Malaysia
BIOD00836	BIBC_BIP05_H08	MS476	Staphylinidae	Paederinae	PA	Poring	BEATING		Malaysia
BIOD00841	BIBC_BIP06_H06	MS570	Staphylinidae	Pselaphinae	PA	Poring	BEATING		Malaysia
BIOD00842	BIBC_BIP15_A06	MS1350	Staphylinidae	Pselaphinae	PA	Poring	WINKLER		Malaysia
BIOD00878	BIBC_BIP14_A12	MS1260	Leiodidae	Leiodinae	PA	Poring	WINKLER		Malaysia
BIOD00879	BIBC_BIP15_C04	MS1372	Hydrophilidae	Sphaeridiinae	PD	Poring	PITFALL		Malaysia
BIOD00892	BIBC_BIP22_C06	MS2047	Staphylinidae	Aleocharinae	PA	Poring	FIT1		Malaysia
BIOD00893	BIBC_BIP14_D08	MS1292	Staphylinidae	Scaphidiinae	PA	Poring	WINKLER		Malaysia
BIOD00895	BIBC_BIP13_E08	MS1208	Staphylinidae	Osoriinae	PA	Poring	WINKLER		Malaysia
