Mitogenomes	sample	Morphpspecies_Image	Image_Family	Image_Subfamily	Site_ID	Site	Collection_method	Collection_year	Country
BIOD02525	BIBC_BIP28_G11	MS2677	Staphylinidae	Proteininae	PD	Poring	FIT2		Malaysia
BIOD02526	BIBC_BIP29_C05	MS2719	Staphylinidae	Pselaphinae	PD	Poring	FIT2		Malaysia
BIOD02527	BIBC_BIP29_D06	MS2732	Ptiliidae		PD	Poring	FIT2		Malaysia
BIOD02531	BIBC_BIP14_D03	MS1287	Staphylinidae	Pselaphinae	PA	Poring	WINKLER		Malaysia
BIOD02542	BIBC_SOP1_C09	Georges1	Georissidae			Danum Valley			Malaysia
BIOD02543	BIBC_SOP1_H07	Oxyt5	Staphylinidae	Oxytelinae		Danum Valley			Malaysia
BIOD02585	BIBC_BIP21_C07	MS1952	Staphylinidae	Aleocharinae	PA	Poring	FIT1		Malaysia
BIOD02590	BIBC_BIP20_A02	MS1826	Leiodidae	Cholevinae	PB	Poring	FIT2		Malaysia
BIOD02591	BIBC_BIP14_B03	MS1263	Staphylinidae	Oxytelinae	PA	Poring	WINKLER		Malaysia
BIOD02592	BIBC_BIP14_G09	MS1329	Staphylinidae	Pselaphinae	PA	Poring	WINKLER		Malaysia
BIOD02594	BIBC_BIP12_A01	MS1057	Staphylinidae	Osoriinae	PB	Poring	WINKLER		Malaysia
BIOD02595	BIBC_BIP12_A03	MS1059	Staphylinidae	Scydmaeninae	PB	Poring	WINKLER		Malaysia
BIOD02596	BIBC_BIP12_A04	MS1060	Staphylinidae	Pselaphinae	PB	Poring	WINKLER		Malaysia
BIOD02671	BIBC_BIP03_E05	MS245	Staphylinidae	Paederinae	PB	Poring	BEATING		Malaysia
BIOD02674	BIBC_BIP23_A04	MS2118	Histeridae		PA	Poring	FIT1		Malaysia
BIOD02678	BIBC_BIP22_H02	MS2104	Staphylinidae	Aleocharinae	PA	Poring	FIT1		Malaysia
BIOD02679	BIBC_BIP24_E07	MS2265	Histeridae		PC	Poring	FIT1		Malaysia
BIOD02681	BIBC_BIP25_G08	MS2386	Staphylinidae	Aleocharinae	PC	Poring	FIT1		Malaysia
BIOD02683	BIBC_BIP26_G06	MS2480	Staphylinidae	Aleocharinae	PC	Poring	FIT1		Malaysia
BIOD02686	BIBC_BIP18_G06	MS1710	Staphylinidae	Paederinae	PB	Poring	FIT2		Malaysia
BIOD02688	BIBC_BIP19_D10	MS1774	Staphylinidae	Pselaphinae	PB	Poring	FIT2		Malaysia
BIOD02690	BIBC_BIP19_H02	MS1814	Leiodidae		PB	Poring	FIT2		Malaysia
BIOD02691	BIBC_BIP20_C08	MS1856	Staphylinidae	Aleocharinae	PB	Poring	FIT2		Malaysia
BIOD02694	BIBC_BIP29_C08	MS2722	Staphylinidae	Euaesthetinae	PD	Poring	FIT2		Malaysia
BIOD02698	BIBC_BIP14_H10	MS1342	Staphylinidae	Scaphidiinae	PA	Poring	WINKLER		Malaysia
BIOD02701	BIBC_BIP13_C01	MS1177	Staphylinidae	Pseudopsinae	PD	Poring	WINKLER		Malaysia
BIOD02718	BIBC_SOP1_F03	Osor2	Staphylinidae	Osoriinae		Danum Valley			Malaysia
